,value,definition,codesystem,code,iri
180,Lip telangiectasia,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips.",HP,HP:0000214,http://purl.obolibrary.org/obo/HP_0000214
181,Thick upper lip vermilion,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).",HP,HP:0000215,http://purl.obolibrary.org/obo/HP_0000215
182,Broad secondary alveolar ridge,,HP,HP:0000216,http://purl.obolibrary.org/obo/HP_0000216
183,Xerostomia,Dryness of the mouth due to salivary gland dysfunction.,HP,HP:0000217,http://purl.obolibrary.org/obo/HP_0000217
184,High palate,Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective).,HP,HP:0000218,http://purl.obolibrary.org/obo/HP_0000218
185,Thin upper lip vermilion,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective).",HP,HP:0000219,http://purl.obolibrary.org/obo/HP_0000219
186,Velopharyngeal insufficiency,Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech.,HP,HP:0000220,http://purl.obolibrary.org/obo/HP_0000220
187,Furrowed tongue,Accentuation of the grooves on the dorsal surface of the tongue.,HP,HP:0000221,http://purl.obolibrary.org/obo/HP_0000221
188,Gingival hyperkeratosis,Hyperkeratosis of the gingiva.,HP,HP:0000222,http://purl.obolibrary.org/obo/HP_0000222
189,Abnormality of taste sensation,,HP,HP:0000223,http://purl.obolibrary.org/obo/HP_0000223
190,Hypogeusia,A decreased ability to perceive flavor.,HP,HP:0000224,http://purl.obolibrary.org/obo/HP_0000224
191,Gingival bleeding,Hemorrhage affecting the gingiva.,HP,HP:0000225,http://purl.obolibrary.org/obo/HP_0000225
192,Tongue telangiectasia,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue.",HP,HP:0000227,http://purl.obolibrary.org/obo/HP_0000227
193,Oral cavity telangiectasia,Presence of telangiectases in the oral cavity.,HP,HP:0000228,http://purl.obolibrary.org/obo/HP_0000228
194,Gingivitis,Inflammation of the gingiva.,HP,HP:0000230,http://purl.obolibrary.org/obo/HP_0000230
195,Everted lower lip vermilion,"An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view.",HP,HP:0000232,http://purl.obolibrary.org/obo/HP_0000232
196,Thin vermilion border,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips).",HP,HP:0000233,http://purl.obolibrary.org/obo/HP_0000233
197,Abnormality of the head,An abnormality of the head.,HP,HP:0000234,http://purl.obolibrary.org/obo/HP_0000234
198,Abnormality of the fontanelles or cranial sutures,Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments).,HP,HP:0000235,http://purl.obolibrary.org/obo/HP_0000235
199,Abnormality of the anterior fontanelle,"An abnormality of the anterior fontanelle, i.e., the cranial fontanelle that is located at the intersection of the coronal and sagittal sutures.",HP,HP:0000236,http://purl.obolibrary.org/obo/HP_0000236
200,Small anterior fontanelle,Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms.,HP,HP:0000237,http://purl.obolibrary.org/obo/HP_0000237
201,Hydrocephalus,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation.,HP,HP:0000238,http://purl.obolibrary.org/obo/HP_0000238
202,Large fontanelles,"In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gradually ossify, whereby the posterior fontanelle usually closes by eight weeks and the anterior fontanelle by the 9th to 16th month of age. Large fontanelles are diagnosed if the fontanelles are larger than age-dependent norms.",HP,HP:0000239,http://purl.obolibrary.org/obo/HP_0000239
203,Abnormality of skull size,Any abnormality of the size of the skull.,HP,HP:0000240,http://purl.obolibrary.org/obo/HP_0000240
204,Parietal bossing,Parietal bossing is a marked prominence in the parietal region.,HP,HP:0000242,http://purl.obolibrary.org/obo/HP_0000242
205,Trigonocephaly,"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput.",HP,HP:0000243,http://purl.obolibrary.org/obo/HP_0000243
206,Brachyturricephaly,"Abnormal vertical height of the skull and a shortening of its anterior-posterior length, frequently combined with malformations of the occipital region.",HP,HP:0000244,http://purl.obolibrary.org/obo/HP_0000244
207,Abnormal paranasal sinus morphology,"Abnormality of the paranasal (cranial) sinuses, which are air-filled spaces that are located within the bones of the skull and face and communicate with the nasal cavity. They comprise the maxillary sinuses, the frontal sinuses, the ethmoid sinuses, and the sphenoid sinuses.",HP,HP:0000245,http://purl.obolibrary.org/obo/HP_0000245
208,Sinusitis,"Inflammation of the paranasal sinuses owing to a viral, bacterial, or fungal infection, allergy, or an autoimmune reaction.",HP,HP:0000246,http://purl.obolibrary.org/obo/HP_0000246
209,Brachycephaly,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width.",HP,HP:0000248,http://purl.obolibrary.org/obo/HP_0000248
210,Dense calvaria,An abnormal increase of density of the bones making up the calvaria.,HP,HP:0000250,http://purl.obolibrary.org/obo/HP_0000250
211,Microcephaly,Head circumference below 2 standard deviations below the mean for age and gender.,HP,HP:0000252,http://purl.obolibrary.org/obo/HP_0000252
212,Progressive microcephaly,Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms.,HP,HP:0000253,http://purl.obolibrary.org/obo/HP_0000253
213,Acute sinusitis,An acute form of sinusitis.,HP,HP:0000255,http://purl.obolibrary.org/obo/HP_0000255
214,Macrocephaly,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium.",HP,HP:0000256,http://purl.obolibrary.org/obo/HP_0000256
215,Wide anterior fontanel,Enlargement of the anterior fontanelle with respect to age-dependent norms.,HP,HP:0000260,http://purl.obolibrary.org/obo/HP_0000260
216,Turricephaly,Tall head relative to width and length.,HP,HP:0000262,http://purl.obolibrary.org/obo/HP_0000262
217,Oxycephaly,"Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull.",HP,HP:0000263,http://purl.obolibrary.org/obo/HP_0000263
218,Abnormality of the mastoid,"An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone.",HP,HP:0000264,http://purl.obolibrary.org/obo/HP_0000264
219,Mastoiditis,,HP,HP:0000265,http://purl.obolibrary.org/obo/HP_0000265
220,Cranial asymmetry,Asymmetry of the bones of the skull.,HP,HP:0000267,http://purl.obolibrary.org/obo/HP_0000267
221,Dolichocephaly,"An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture.",HP,HP:0000268,http://purl.obolibrary.org/obo/HP_0000268
222,Prominent occiput,Increased convexity of the occiput (posterior part of the skull).,HP,HP:0000269,http://purl.obolibrary.org/obo/HP_0000269
223,Delayed cranial suture closure,"Infants normally have two fontanels at birth, the diamond-shaped anterior fontanelle at the junction of the coronal and sagittal sutures, and the posterior fontanelle at the intersection of the occipital and parietal bones. The posterior fontanelle usually closes by the 8th week of life, and the anterior fontanel closes by the 18th month of life on average. This term applies if there is delay of closure of the fontanelles beyond the normal age.",HP,HP:0000270,http://purl.obolibrary.org/obo/HP_0000270
224,Abnormality of the face,An abnormality of the face.,HP,HP:0000271,http://purl.obolibrary.org/obo/HP_0000271
225,Malar flattening,"Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation.",HP,HP:0000272,http://purl.obolibrary.org/obo/HP_0000272
226,Facial grimacing,,HP,HP:0000273,http://purl.obolibrary.org/obo/HP_0000273
227,Small face,A face that is short (HP:0011219) and narrow (HP:0000275).,HP,HP:0000274,http://purl.obolibrary.org/obo/HP_0000274
228,Narrow face,"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).",HP,HP:0000275,http://purl.obolibrary.org/obo/HP_0000275
229,Long face,"Facial height (length) is more than 2 standard deviations above the mean (objective); or, an apparent increase in the height (length) of the face (subjective).",HP,HP:0000276,http://purl.obolibrary.org/obo/HP_0000276
230,Abnormality of the mandible,"Any abnormality of the mandible, the bone of the lower jaw.",HP,HP:0000277,http://purl.obolibrary.org/obo/HP_0000277
231,Retrognathia,An abnormality in which the mandible is mislocalised posteriorly.,HP,HP:0000278,http://purl.obolibrary.org/obo/HP_0000278
232,Coarse facial features,"Absence of fine and sharp appearance of brows, nose, lips, mouth, and chin, usually because of rounded and heavy features or thickened skin with or without thickening of subcutaneous and bony tissues.",HP,HP:0000280,http://purl.obolibrary.org/obo/HP_0000280
233,Facial edema,,HP,HP:0000282,http://purl.obolibrary.org/obo/HP_0000282
234,Broad face,Bizygomatic (upper face) and bigonial (lower face) width greater than 2 standard deviations above the mean (objective); or an apparent increase in the width of the face (subjective).,HP,HP:0000283,http://purl.obolibrary.org/obo/HP_0000283
235,obsolete Abnormality of the ocular region,,HP,HP:0000284,http://purl.obolibrary.org/obo/HP_0000284
236,Epicanthus,"A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus.",HP,HP:0000286,http://purl.obolibrary.org/obo/HP_0000286
237,Increased facial adipose tissue,An increased amount of subcutaneous fat tissue in the face.,HP,HP:0000287,http://purl.obolibrary.org/obo/HP_0000287
238,Abnormality of the philtrum,An abnormality of the philtrum.,HP,HP:0000288,http://purl.obolibrary.org/obo/HP_0000288
239,Broad philtrum,"Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum.",HP,HP:0000289,http://purl.obolibrary.org/obo/HP_0000289
240,Abnormality of the forehead,An anomaly of the forehead.,HP,HP:0000290,http://purl.obolibrary.org/obo/HP_0000290
241,Abnormality of facial adipose tissue,,HP,HP:0000291,http://purl.obolibrary.org/obo/HP_0000291
242,Loss of facial adipose tissue,Loss of normal subcutaneous fat tissue in the face.,HP,HP:0000292,http://purl.obolibrary.org/obo/HP_0000292
243,Full cheeks,Increased prominence or roundness of soft tissues between zygomata and mandible.,HP,HP:0000293,http://purl.obolibrary.org/obo/HP_0000293
244,Low anterior hairline,"Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella.",HP,HP:0000294,http://purl.obolibrary.org/obo/HP_0000294
245,Doll-like facies,"A characteristic facial appearance with a round facial form, full cheeks, a short nose, and a relatively small chin.",HP,HP:0000295,http://purl.obolibrary.org/obo/HP_0000295
246,Facial hypotonia,Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve).,HP,HP:0000297,http://purl.obolibrary.org/obo/HP_0000297
247,Mask-like facies,A lack of facial expression often with staring eyes and a slightly open mouth.,HP,HP:0000298,http://purl.obolibrary.org/obo/HP_0000298
248,Oval face,A face with a rounded and slightly elongated outline.,HP,HP:0000300,http://purl.obolibrary.org/obo/HP_0000300
249,Abnormality of facial musculature,An anomaly of a muscle that is innervated by the facial nerve (the seventh cranial nerve).,HP,HP:0000301,http://purl.obolibrary.org/obo/HP_0000301
